field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"dl_duplicatepkts",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_dvmax",35208,4,1,6,"2.9529652351738243",2,35208,"0.42194302239652404","[{""value"":""3"",""count"":28870},{""value"":""2"",""count"":3998},{""value"":""4"",""count"":2339},{""value"":""6"",""count"":1}]"
"dl_dvmean",35208,2,1,1,"0.46830265848670755",0,35208,"0.4990013535693724","[{""value"":""0"",""count"":18720},{""value"":""1"",""count"":16488}]"
"dl_dvp25",35208,2,1,1,"0.4870199954555783",0,35208,"0.4998385895038761","[{""value"":""0"",""count"":18061},{""value"":""1"",""count"":17147}]"
"dl_dvp50",35208,3,1,2,"0.762468757100659",0,35208,"0.4256431634395234","[{""value"":""1"",""count"":26843},{""value"":""0"",""count"":8364},{""value"":""2"",""count"":1}]"
"dl_dvp75",35208,2,1,2,"1.370114746648489",1,35208,"0.48284204731079267","[{""value"":""1"",""count"":22177},{""value"":""2"",""count"":13031}]"
"dl_dvp95",35208,3,1,3,"2.0251647352874347",1,35208,"0.2317992818166994","[{""value"":""2"",""count"":33294},{""value"":""3"",""count"":1400},{""value"":""1"",""count"":514}]"
"dl_dvpHi",35208,2,1,3,"2.4889229720518062",2,35208,"0.499884383460157","[{""value"":""2"",""count"":17994},{""value"":""3"",""count"":17214}]"
"dl_dvpLo",35208,3,1,3,"2.1057714155873666",1,35208,"0.3129506605726666","[{""value"":""2"",""count"":31366},{""value"":""3"",""count"":3783},{""value"":""1"",""count"":59}]"
"dl_dvpMi",35208,2,1,3,"2.3404907975460123",2,35208,"0.47388098982661875","[{""value"":""2"",""count"":23220},{""value"":""3"",""count"":11988}]"
"dl_firstpktSeq",35208,500,0,379817648,"209472328.5236878",39124919,35208,"166248622.29726458","[{""value"":""371583434"",""count"":1},{""value"":""371583451"",""count"":1},{""value"":""371584333"",""count"":1},{""value"":""371584351"",""count"":1},{""value"":""371585261"",""count"":1},{""value"":""371585280"",""count"":1},{""value"":""371586204"",""count"":1},{""value"":""371586224"",""count"":1},{""value"":""371587164"",""count"":1},{""value"":""371587175"",""count"":1},{""value"":""371588102"",""count"":1},{""value"":""371588113"",""count"":1},{""value"":""371589009"",""count"":1},{""value"":""371589027"",""count"":1},{""value"":""371589938"",""count"":1},{""value"":""371589950"",""count"":1},{""value"":""371590875"",""count"":1},{""value"":""371590894"",""count"":1},{""value"":""371591804"",""count"":1},{""value"":""371591823"",""count"":1},{""value"":""371592734"",""count"":1},{""value"":""371592745"",""count"":1},{""value"":""371593648"",""count"":1},{""value"":""371593660"",""count"":1},{""value"":""371594578"",""count"":1},{""value"":""371594590"",""count"":1},{""value"":""371595492"",""count"":1},{""value"":""371595513"",""count"":1},{""value"":""371596415"",""count"":1},{""value"":""371596427"",""count"":1},{""value"":""371597322"",""count"":1},{""value"":""371597336"",""count"":1},{""value"":""371598246"",""count"":1},{""value"":""371598261"",""count"":1},{""value"":""371599172"",""count"":1},{""value"":""371599187"",""count"":1},{""value"":""371600096"",""count"":1},{""value"":""371600111"",""count"":1},{""value"":""371601011"",""count"":1},{""value"":""371601036"",""count"":1},{""value"":""371601954"",""count"":1},{""value"":""371601966"",""count"":1},{""value"":""371602878"",""count"":1},{""value"":""371602890"",""count"":1},{""value"":""371603822"",""count"":1},{""value"":""371603834"",""count"":1},{""value"":""371604762"",""count"":1},{""value"":""371604779"",""count"":1},{""value"":""371605722"",""count"":1},{""value"":""371605737"",""count"":1},{""value"":""371606670"",""count"":1},{""value"":""371606683"",""count"":1},{""value"":""371607624"",""count"":1},{""value"":""371607637"",""count"":1},{""value"":""371608574"",""count"":1},{""value"":""371608595"",""count"":1},{""value"":""371609518"",""count"":1},{""value"":""371609529"",""count"":1},{""value"":""371610432"",""count"":1},{""value"":""371610443"",""count"":1},{""value"":""371611340"",""count"":1},{""value"":""371611357"",""count"":1},{""value"":""371612275"",""count"":1},{""value"":""371612296"",""count"":1},{""value"":""371613190"",""count"":1},{""value"":""371613210"",""count"":1},{""value"":""371614120"",""count"":1},{""value"":""371614139"",""count"":1},{""value"":""371615050"",""count"":1},{""value"":""371615061"",""count"":1},{""value"":""371615995"",""count"":1},{""value"":""371616016"",""count"":1},{""value"":""371616954"",""count"":1},{""value"":""371616966"",""count"":1},{""value"":""371617878"",""count"":1},{""value"":""371617889"",""count"":1},{""value"":""371618806"",""count"":1},{""value"":""371618818"",""count"":1},{""value"":""371619766"",""count"":1},{""value"":""371619784"",""count"":1},{""value"":""371620726"",""count"":1},{""value"":""371620743"",""count"":1},{""value"":""371621670"",""count"":1},{""value"":""371621687"",""count"":1},{""value"":""371622620"",""count"":1},{""value"":""371622641"",""count"":1},{""value"":""371623559"",""count"":1},{""value"":""371623576"",""count"":1},{""value"":""371624504"",""count"":1},{""value"":""371624515"",""count"":1},{""value"":""371625439"",""count"":1},{""value"":""371625459"",""count"":1},{""value"":""371626392"",""count"":1},{""value"":""371626403"",""count"":1},{""value"":""371627346"",""count"":1},{""value"":""371627362"",""count"":1},{""value"":""371628287"",""count"":1},{""value"":""371628306"",""count"":1},{""value"":""371629225"",""count"":1},{""value"":""371629243"",""count"":1}]"
"dl_jStdDev",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_jmax",35208,4,1,5,"2.8497216541695067",2,35208,"0.3845319697357845","[{""value"":""3"",""count"":29210},{""value"":""2"",""count"":5645},{""value"":""4"",""count"":352},{""value"":""5"",""count"":1}]"
"dl_jmean",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_jmin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_jp25",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_jp50",35208,2,1,1,"0.8967280163599182",0,35208,"0.3043181088751454","[{""value"":""1"",""count"":31572},{""value"":""0"",""count"":3636}]"
"dl_jp75",35208,1,1,1,1,1,35208,0,"[{""value"":""1"",""count"":35208}]"
"dl_jp95",35208,2,1,2,"1.99468870711202",1,35208,"0.07268585222437647","[{""value"":""2"",""count"":35021},{""value"":""1"",""count"":187}]"
"dl_jpHi",35208,2,1,3,"2.0372074528516246",2,35208,"0.18927249087518114","[{""value"":""2"",""count"":33898},{""value"":""3"",""count"":1310}]"
"dl_jpLo",35208,2,1,2,"1.9997727789138833",1,35208,"0.015072355790952409","[{""value"":""2"",""count"":35200},{""value"":""1"",""count"":8}]"
"dl_jpMi",35208,2,1,3,"2.0000568052715293",2,35208,"0.007536820155977611","[{""value"":""2"",""count"":35206},{""value"":""3"",""count"":2}]"
"dl_lastpktSeq",35208,500,0,379818602,"209473263.1238639",39125818,35208,"166248622.29157907","[{""value"":""371584332"",""count"":1},{""value"":""371584350"",""count"":1},{""value"":""371585260"",""count"":1},{""value"":""371585279"",""count"":1},{""value"":""371586203"",""count"":1},{""value"":""371586223"",""count"":1},{""value"":""371587163"",""count"":1},{""value"":""371587174"",""count"":1},{""value"":""371588101"",""count"":1},{""value"":""371588112"",""count"":1},{""value"":""371589008"",""count"":1},{""value"":""371589026"",""count"":1},{""value"":""371589937"",""count"":1},{""value"":""371589949"",""count"":1},{""value"":""371590874"",""count"":1},{""value"":""371590893"",""count"":1},{""value"":""371591803"",""count"":1},{""value"":""371591822"",""count"":1},{""value"":""371592733"",""count"":1},{""value"":""371592744"",""count"":1},{""value"":""371593647"",""count"":1},{""value"":""371593659"",""count"":1},{""value"":""371594577"",""count"":1},{""value"":""371594589"",""count"":1},{""value"":""371595491"",""count"":1},{""value"":""371595512"",""count"":1},{""value"":""371596414"",""count"":1},{""value"":""371596426"",""count"":1},{""value"":""371597321"",""count"":1},{""value"":""371597335"",""count"":1},{""value"":""371598245"",""count"":1},{""value"":""371598260"",""count"":1},{""value"":""371599171"",""count"":1},{""value"":""371599186"",""count"":1},{""value"":""371600095"",""count"":1},{""value"":""371600110"",""count"":1},{""value"":""371601010"",""count"":1},{""value"":""371601035"",""count"":1},{""value"":""371601953"",""count"":1},{""value"":""371601965"",""count"":1},{""value"":""371602877"",""count"":1},{""value"":""371602889"",""count"":1},{""value"":""371603821"",""count"":1},{""value"":""371603833"",""count"":1},{""value"":""371604761"",""count"":1},{""value"":""371604778"",""count"":1},{""value"":""371605721"",""count"":1},{""value"":""371605736"",""count"":1},{""value"":""371606669"",""count"":1},{""value"":""371606682"",""count"":1},{""value"":""371607623"",""count"":1},{""value"":""371607636"",""count"":1},{""value"":""371608573"",""count"":1},{""value"":""371608594"",""count"":1},{""value"":""371609517"",""count"":1},{""value"":""371609528"",""count"":1},{""value"":""371610431"",""count"":1},{""value"":""371610442"",""count"":1},{""value"":""371611339"",""count"":1},{""value"":""371611356"",""count"":1},{""value"":""371612274"",""count"":1},{""value"":""371612295"",""count"":1},{""value"":""371613189"",""count"":1},{""value"":""371613209"",""count"":1},{""value"":""371614119"",""count"":1},{""value"":""371614138"",""count"":1},{""value"":""371615049"",""count"":1},{""value"":""371615060"",""count"":1},{""value"":""371615994"",""count"":1},{""value"":""371616015"",""count"":1},{""value"":""371616953"",""count"":1},{""value"":""371616965"",""count"":1},{""value"":""371617877"",""count"":1},{""value"":""371617888"",""count"":1},{""value"":""371618805"",""count"":1},{""value"":""371618817"",""count"":1},{""value"":""371619765"",""count"":1},{""value"":""371619783"",""count"":1},{""value"":""371620725"",""count"":1},{""value"":""371620742"",""count"":1},{""value"":""371621669"",""count"":1},{""value"":""371621686"",""count"":1},{""value"":""371622619"",""count"":1},{""value"":""371622640"",""count"":1},{""value"":""371623558"",""count"":1},{""value"":""371623575"",""count"":1},{""value"":""371624503"",""count"":1},{""value"":""371624514"",""count"":1},{""value"":""371625438"",""count"":1},{""value"":""371625458"",""count"":1},{""value"":""371626391"",""count"":1},{""value"":""371626402"",""count"":1},{""value"":""371627345"",""count"":1},{""value"":""371627361"",""count"":1},{""value"":""371628286"",""count"":1},{""value"":""371628305"",""count"":1},{""value"":""371629224"",""count"":1},{""value"":""371629242"",""count"":1},{""value"":""371630175"",""count"":1},{""value"":""371630195"",""count"":1}]"
"dl_lostburstmax",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_lostburstmin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_lostperc",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_lostperiods",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_lostpkts",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_misorderpkts",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_mos",35208,1,1,4409286,4409286,4409286,35208,0,"[{""value"":""4409286"",""count"":35208}]"
"dl_r",35208,1,1,93200000,93200000,93200000,35208,0,"[{""value"":""93200000"",""count"":35208}]"
"dl_rxbytes",35208,138,0,540540,"510837.6961486026",461916,35208,"12111.835808456408","[{""value"":""515424"",""count"":2656},{""value"":""507234"",""count"":1933},{""value"":""523614"",""count"":1511},{""value"":""499044"",""count"":1339},{""value"":""507780"",""count"":1333},{""value"":""520884"",""count"":1165},{""value"":""512148"",""count"":1117},{""value"":""515970"",""count"":1110},{""value"":""524160"",""count"":1051},{""value"":""512694"",""count"":976},{""value"":""504504"",""count"":835},{""value"":""520338"",""count"":787},{""value"":""503958"",""count"":719},{""value"":""511602"",""count"":702},{""value"":""499590"",""count"":645},{""value"":""490854"",""count"":627},{""value"":""531804"",""count"":604},{""value"":""513240"",""count"":593},{""value"":""511056"",""count"":591},{""value"":""519792"",""count"":585},{""value"":""521430"",""count"":514},{""value"":""503412"",""count"":512},{""value"":""495768"",""count"":500},{""value"":""529074"",""count"":472},{""value"":""514878"",""count"":469},{""value"":""506688"",""count"":465},{""value"":""496314"",""count"":428},{""value"":""519246"",""count"":417},{""value"":""528528"",""count"":410},{""value"":""491400"",""count"":395},{""value"":""518700"",""count"":388},{""value"":""505050"",""count"":383},{""value"":""510510"",""count"":372},{""value"":""523068"",""count"":370},{""value"":""502866"",""count"":362},{""value"":""495222"",""count"":319},{""value"":""529620"",""count"":278},{""value"":""498498"",""count"":261},{""value"":""502320"",""count"":257},{""value"":""494676"",""count"":255},{""value"":""514332"",""count"":254},{""value"":""527436"",""count"":251},{""value"":""482664"",""count"":232},{""value"":""527982"",""count"":232},{""value"":""496860"",""count"":224},{""value"":""487578"",""count"":220},{""value"":""521976"",""count"":219},{""value"":""506142"",""count"":203},{""value"":""509964"",""count"":200},{""value"":""487032"",""count"":197},{""value"":""532350"",""count"":191},{""value"":""505596"",""count"":181},{""value"":""488124"",""count"":178},{""value"":""513786"",""count"":178},{""value"":""522522"",""count"":175},{""value"":""518154"",""count"":172},{""value"":""526890"",""count"":159},{""value"":""494130"",""count"":147},{""value"":""490308"",""count"":142},{""value"":""497952"",""count"":139},{""value"":""483210"",""count"":136},{""value"":""501774"",""count"":135},{""value"":""517608"",""count"":116},{""value"":""486486"",""count"":103},{""value"":""531258"",""count"":99},{""value"":""526344"",""count"":95},{""value"":""497406"",""count"":90},{""value"":""509418"",""count"":85},{""value"":""488670"",""count"":81},{""value"":""530712"",""count"":66},{""value"":""489762"",""count"":65},{""value"":""485940"",""count"":61},{""value"":""493584"",""count"":61},{""value"":""537264"",""count"":61},{""value"":""508872"",""count"":60},{""value"":""479388"",""count"":57},{""value"":""489216"",""count"":57},{""value"":""501228"",""count"":55},{""value"":""479934"",""count"":54},{""value"":""474474"",""count"":53},{""value"":""517062"",""count"":53},{""value"":""478842"",""count"":49},{""value"":""536172"",""count"":48},{""value"":""482118"",""count"":47},{""value"":""530166"",""count"":46},{""value"":""516516"",""count"":45},{""value"":""525798"",""count"":43},{""value"":""478296"",""count"":37},{""value"":""508326"",""count"":37},{""value"":""536718"",""count"":34},{""value"":""537810"",""count"":33},{""value"":""524706"",""count"":31},{""value"":""500682"",""count"":30},{""value"":""525252"",""count"":28},{""value"":""500136"",""count"":26},{""value"":""535080"",""count"":26},{""value"":""493038"",""count"":24},{""value"":""535626"",""count"":23},{""value"":""475020"",""count"":21},{""value"":""480480"",""count"":21}]"
