field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
source,35208,500,0,,,,0,,"[{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h01m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h02m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h03m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h04m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h05m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h06m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h07m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h08m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h09m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h10m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h11m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h12m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h13m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h14m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h15m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h16m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h17m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h18m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h19m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h20m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h21m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h22m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h23m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h24m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h25m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h26m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h27m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h28m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h29m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h30m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h31m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h32m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h33m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h34m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h35m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h36m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h37m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h38m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h39m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h40m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h41m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h42m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h43m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h44m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h45m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h46m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h47m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h48m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h49m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h50m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h51m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h52m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h53m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h54m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h55m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h56m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h57m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h58m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_05h59m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h00m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h01m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h02m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h03m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h04m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h05m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h06m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h07m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h08m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h09m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h10m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h11m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h12m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h13m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h14m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h15m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h16m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h17m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h18m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h19m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h20m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h21m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h22m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h23m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h24m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h25m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h26m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h27m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h28m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h29m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h30m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h31m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h32m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h33m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h34m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h35m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h36m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h37m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h38m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h39m01sZ_TWAMP_all_60.csv"",""count"":24},{""value"":""/var/log/remote/pca/twamp/4F8C4D56-7068-1B52-49E3-D52B7B082FB2_history_2026-05-03_06h40m01sZ_TWAMP_all_60.csv"",""count"":24}]"
sourcetype,35208,1,1,,,,0,,"[{""value"":""pca_twamp_csv"",""count"":35208}]"
"splunk_server",35208,1,1,,,,0,,"[{""value"":""splunk-01"",""count"":35208}]"
"splunk_server_group",35208,4,1,,,,0,,"[{""value"":""dmc_group_indexer"",""count"":35208},{""value"":""dmc_group_kv_store"",""count"":35208},{""value"":""dmc_group_license_master"",""count"":35208},{""value"":""dmc_group_search_head"",""count"":35208}]"
statRound,35208,500,0,698333,"693932.5",689532,35208,"2540.954603465552","[{""value"":""689532"",""count"":4},{""value"":""689533"",""count"":4},{""value"":""689534"",""count"":4},{""value"":""689535"",""count"":4},{""value"":""689536"",""count"":4},{""value"":""689537"",""count"":4},{""value"":""689538"",""count"":4},{""value"":""689539"",""count"":4},{""value"":""689540"",""count"":4},{""value"":""689541"",""count"":4},{""value"":""689542"",""count"":4},{""value"":""689543"",""count"":4},{""value"":""689544"",""count"":4},{""value"":""689545"",""count"":4},{""value"":""689546"",""count"":4},{""value"":""689547"",""count"":4},{""value"":""689548"",""count"":4},{""value"":""689549"",""count"":4},{""value"":""689550"",""count"":4},{""value"":""689551"",""count"":4},{""value"":""689552"",""count"":4},{""value"":""689553"",""count"":4},{""value"":""689554"",""count"":4},{""value"":""689555"",""count"":4},{""value"":""689556"",""count"":4},{""value"":""689557"",""count"":4},{""value"":""689558"",""count"":4},{""value"":""689559"",""count"":4},{""value"":""689560"",""count"":4},{""value"":""689561"",""count"":4},{""value"":""689562"",""count"":4},{""value"":""689563"",""count"":4},{""value"":""689564"",""count"":4},{""value"":""689565"",""count"":4},{""value"":""689566"",""count"":4},{""value"":""689567"",""count"":4},{""value"":""689568"",""count"":4},{""value"":""689569"",""count"":4},{""value"":""689570"",""count"":4},{""value"":""689571"",""count"":4},{""value"":""689572"",""count"":4},{""value"":""689573"",""count"":4},{""value"":""689574"",""count"":4},{""value"":""689575"",""count"":4},{""value"":""689576"",""count"":4},{""value"":""689577"",""count"":4},{""value"":""689578"",""count"":4},{""value"":""689579"",""count"":4},{""value"":""689580"",""count"":4},{""value"":""689581"",""count"":4},{""value"":""689582"",""count"":4},{""value"":""689583"",""count"":4},{""value"":""689584"",""count"":4},{""value"":""689585"",""count"":4},{""value"":""689586"",""count"":4},{""value"":""689587"",""count"":4},{""value"":""689588"",""count"":4},{""value"":""689589"",""count"":4},{""value"":""689590"",""count"":4},{""value"":""689591"",""count"":4},{""value"":""689592"",""count"":4},{""value"":""689593"",""count"":4},{""value"":""689594"",""count"":4},{""value"":""689595"",""count"":4},{""value"":""689596"",""count"":4},{""value"":""689597"",""count"":4},{""value"":""689598"",""count"":4},{""value"":""689599"",""count"":4},{""value"":""689600"",""count"":4},{""value"":""689601"",""count"":4},{""value"":""689602"",""count"":4},{""value"":""689603"",""count"":4},{""value"":""689604"",""count"":4},{""value"":""689605"",""count"":4},{""value"":""689606"",""count"":4},{""value"":""689607"",""count"":4},{""value"":""689608"",""count"":4},{""value"":""689609"",""count"":4},{""value"":""689610"",""count"":4},{""value"":""689611"",""count"":4},{""value"":""689612"",""count"":4},{""value"":""689613"",""count"":4},{""value"":""689614"",""count"":4},{""value"":""689615"",""count"":4},{""value"":""689616"",""count"":4},{""value"":""689617"",""count"":4},{""value"":""689618"",""count"":4},{""value"":""689619"",""count"":4},{""value"":""689620"",""count"":4},{""value"":""689621"",""count"":4},{""value"":""689622"",""count"":4},{""value"":""689623"",""count"":4},{""value"":""689624"",""count"":4},{""value"":""689625"",""count"":4},{""value"":""689626"",""count"":4},{""value"":""689627"",""count"":4},{""value"":""689628"",""count"":4},{""value"":""689629"",""count"":4},{""value"":""689630"",""count"":4},{""value"":""689631"",""count"":4}]"
statTime,35208,500,0,1777872418097,"1777828412891.6067",1777784407798,35208,"25409560.597618558","[{""value"":""1777784407798"",""count"":2},{""value"":""1777784417785"",""count"":2},{""value"":""1777784437760"",""count"":2},{""value"":""1777784447798"",""count"":2},{""value"":""1777784457795"",""count"":2},{""value"":""1777784477791"",""count"":2},{""value"":""1777784497767"",""count"":2},{""value"":""1777784537766"",""count"":2},{""value"":""1777784547777"",""count"":2},{""value"":""1777784557768"",""count"":2},{""value"":""1777784577809"",""count"":2},{""value"":""1777784587829"",""count"":2},{""value"":""1777784607765"",""count"":2},{""value"":""1777784637758"",""count"":2},{""value"":""1777784677782"",""count"":2},{""value"":""1777784687774"",""count"":2},{""value"":""1777784697774"",""count"":2},{""value"":""1777784717810"",""count"":2},{""value"":""1777784737755"",""count"":2},{""value"":""1777784747823"",""count"":2},{""value"":""1777784757755"",""count"":2},{""value"":""1777784767779"",""count"":2},{""value"":""1777784777755"",""count"":2},{""value"":""1777784827780"",""count"":2},{""value"":""1777784837752"",""count"":2},{""value"":""1777784847800"",""count"":2},{""value"":""1777784857799"",""count"":2},{""value"":""1777784867759"",""count"":2},{""value"":""1777784887788"",""count"":2},{""value"":""1777784927793"",""count"":2},{""value"":""1777784947789"",""count"":2},{""value"":""1777784957765"",""count"":2},{""value"":""1777784967825"",""count"":2},{""value"":""1777785007757"",""count"":2},{""value"":""1777785037775"",""count"":2},{""value"":""1777785047795"",""count"":2},{""value"":""1777785057786"",""count"":2},{""value"":""1777785067791"",""count"":2},{""value"":""1777785077815"",""count"":2},{""value"":""1777785107794"",""count"":2},{""value"":""1777785137791"",""count"":2},{""value"":""1777785147831"",""count"":2},{""value"":""1777785157775"",""count"":2},{""value"":""1777785177764"",""count"":2},{""value"":""1777785197796"",""count"":2},{""value"":""1777785217768"",""count"":2},{""value"":""1777785237764"",""count"":2},{""value"":""1777785247804"",""count"":2},{""value"":""1777785257768"",""count"":2},{""value"":""1777785277776"",""count"":2},{""value"":""1777785287760"",""count"":2},{""value"":""1777785297797"",""count"":2},{""value"":""1777785327770"",""count"":2},{""value"":""1777785347749"",""count"":2},{""value"":""1777785357757"",""count"":2},{""value"":""1777785367822"",""count"":2},{""value"":""1777785377770"",""count"":2},{""value"":""1777785387793"",""count"":2},{""value"":""1777785397781"",""count"":2},{""value"":""1777785407757"",""count"":2},{""value"":""1777785417766"",""count"":2},{""value"":""1777785427786"",""count"":2},{""value"":""1777785447753"",""count"":2},{""value"":""1777785457815"",""count"":2},{""value"":""1777785477789"",""count"":2},{""value"":""1777785547791"",""count"":2},{""value"":""1777785557827"",""count"":2},{""value"":""1777785567795"",""count"":2},{""value"":""1777785577803"",""count"":2},{""value"":""1777785587787"",""count"":2},{""value"":""1777785607780"",""count"":2},{""value"":""1777785617752"",""count"":2},{""value"":""1777785637804"",""count"":2},{""value"":""1777785647756"",""count"":2},{""value"":""1777785657757"",""count"":2},{""value"":""1777785677757"",""count"":2},{""value"":""1777785697797"",""count"":2},{""value"":""1777785727801"",""count"":2},{""value"":""1777785737781"",""count"":2},{""value"":""1777785747805"",""count"":2},{""value"":""1777785757761"",""count"":2},{""value"":""1777785787798"",""count"":2},{""value"":""1777785807806"",""count"":2},{""value"":""1777785827822"",""count"":2},{""value"":""1777785837818"",""count"":2},{""value"":""1777785847802"",""count"":2},{""value"":""1777785867775"",""count"":2},{""value"":""1777785877792"",""count"":2},{""value"":""1777785887791"",""count"":2},{""value"":""1777785897751"",""count"":2},{""value"":""1777785907779"",""count"":2},{""value"":""1777785917771"",""count"":2},{""value"":""1777785937823"",""count"":2},{""value"":""1777785947763"",""count"":2},{""value"":""1777785967752"",""count"":2},{""value"":""1777785977776"",""count"":2},{""value"":""1777785987809"",""count"":2},{""value"":""1777785997756"",""count"":2},{""value"":""1777786007807"",""count"":2},{""value"":""1777786017758"",""count"":2}]"
syncStatus,35208,2,1,5963793,"5962884.639172915",5898257,35208,"7662.04165276043","[{""value"":""5963793"",""count"":34720},{""value"":""5898257"",""count"":488}]"
tag,0,0,1,,,,0,,"[]"
"tag::eventtype",0,0,1,,,,0,,"[]"
"ul_cksum",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"ul_dStdDev",35208,2,1,3,"2.1392013178822995",2,35208,"0.34616139935737705","[{""value"":""2"",""count"":30307},{""value"":""3"",""count"":4901}]"
"ul_dmax",35208,9,1,42,"37.850119291070214",34,35208,"1.1955655976462534","[{""value"":""38"",""count"":11031},{""value"":""37"",""count"":8737},{""value"":""39"",""count"":7819},{""value"":""36"",""count"":4284},{""value"":""40"",""count"":2536},{""value"":""35"",""count"":542},{""value"":""41"",""count"":249},{""value"":""42"",""count"":7},{""value"":""34"",""count"":3}]"
"ul_dmean",35208,4,1,29,"27.250426039536467",26,35208,"0.46458323045681915","[{""value"":""27"",""count"":25431},{""value"":""28"",""count"":9282},{""value"":""26"",""count"":485},{""value"":""29"",""count"":10}]"
"ul_dmin",35208,4,1,24,"22.39340490797546",21,35208,"0.4973285814093244","[{""value"":""22"",""count"":21099},{""value"":""23"",""count"":13956},{""value"":""21"",""count"":137},{""value"":""24"",""count"":16}]"
"ul_dp25",35208,3,1,27,"26.0375482844808",25,35208,"0.3966929919306288","[{""value"":""26"",""count"":29618},{""value"":""27"",""count"":3456},{""value"":""25"",""count"":2134}]"
"ul_dp50",35208,4,1,29,"27.18947398318564",26,35208,"0.5233497275420829","[{""value"":""27"",""count"":24334},{""value"":""28"",""count"":8756},{""value"":""26"",""count"":2107},{""value"":""29"",""count"":11}]"
"ul_dp75",35208,5,1,31,"29.011389456941604",27,35208,"0.752278194628433","[{""value"":""29"",""count"":15381},{""value"":""30"",""count"":10107},{""value"":""28"",""count"":9686},{""value"":""27"",""count"":22},{""value"":""31"",""count"":12}]"
"ul_dp95",35208,5,1,35,"32.921551920018175",31,35208,"0.6513176526609095","[{""value"":""33"",""count"":20245},{""value"":""32"",""count"":8816},{""value"":""34"",""count"":6084},{""value"":""31"",""count"":39},{""value"":""35"",""count"":24}]"
"ul_dpHi",35208,5,1,37,"34.93211770052261",33,35208,"0.5785811900599536","[{""value"":""35"",""count"":23437},{""value"":""34"",""count"":7042},{""value"":""36"",""count"":4670},{""value"":""33"",""count"":34},{""value"":""37"",""count"":25}]"
